date,market,ticker,community,ari_stability,algorithm
2010-07-07,bovespa,ABEV3.SA,1,1.0,leiden
2010-07-07,bovespa,B3SA3.SA,0,1.0,leiden
2010-07-07,bovespa,BBAS3.SA,1,1.0,leiden
2010-07-07,bovespa,BBDC3.SA,0,1.0,leiden
2010-07-07,bovespa,BEEF3.SA,0,1.0,leiden
2010-07-07,bovespa,CMIG4.SA,1,1.0,leiden
2010-07-07,bovespa,CSAN3.SA,1,1.0,leiden
2010-07-07,bovespa,EZTC3.SA,1,1.0,leiden
2010-07-07,bovespa,ITSA4.SA,0,1.0,leiden
2010-07-07,bovespa,ITUB4.SA,0,1.0,leiden
2010-07-07,bovespa,MRVE3.SA,0,1.0,leiden
2010-07-07,bovespa,MULT3.SA,0,1.0,leiden
2010-07-07,bovespa,PETR3.SA,0,1.0,leiden
2010-07-07,bovespa,PSSA3.SA,1,1.0,leiden
2010-07-07,bovespa,RADL3.SA,1,1.0,leiden
2010-07-07,bovespa,RENT3.SA,1,1.0,leiden
2010-07-07,bovespa,SBSP3.SA,0,1.0,leiden
2010-07-07,bovespa,SMTO3.SA,1,1.0,leiden
2010-07-07,bovespa,TOTS3.SA,0,1.0,leiden
2010-07-07,bovespa,VALE3.SA,1,1.0,leiden
2010-07-07,bovespa,WEGE3.SA,0,1.0,leiden
2010-08-06,bovespa,ABEV3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,B3SA3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,BBAS3.SA,2,0.33133364097831103,leiden
2010-08-06,bovespa,BBDC3.SA,2,0.33133364097831103,leiden
2010-08-06,bovespa,BEEF3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,CMIG4.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,CSAN3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,EZTC3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,ITSA4.SA,2,0.33133364097831103,leiden
2010-08-06,bovespa,ITUB4.SA,2,0.33133364097831103,leiden
2010-08-06,bovespa,MRVE3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,MULT3.SA,2,0.33133364097831103,leiden
2010-08-06,bovespa,PETR3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,PSSA3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,RADL3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,RENT3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,SBSP3.SA,1,0.33133364097831103,leiden
2010-08-06,bovespa,SMTO3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,TOTS3.SA,0,0.33133364097831103,leiden
2010-08-06,bovespa,VALE3.SA,0,0.33133364097831103,leiden
