date,market,ticker,community,ari_stability,algorithm
2010-07-06,nifty50,ADANIENT.NS,4,1.0,leiden
2010-07-06,nifty50,ADANIPORTS.NS,4,1.0,leiden
2010-07-06,nifty50,APOLLOHOSP.NS,0,1.0,leiden
2010-07-06,nifty50,ASIANPAINT.NS,0,1.0,leiden
2010-07-06,nifty50,AXISBANK.NS,0,1.0,leiden
2010-07-06,nifty50,BAJAJ-AUTO.NS,0,1.0,leiden
2010-07-06,nifty50,BAJAJFINSV.NS,0,1.0,leiden
2010-07-06,nifty50,BAJFINANCE.NS,0,1.0,leiden
2010-07-06,nifty50,BEL.NS,4,1.0,leiden
2010-07-06,nifty50,BHARTIARTL.NS,0,1.0,leiden
2010-07-06,nifty50,BPCL.NS,1,1.0,leiden
2010-07-06,nifty50,BRITANNIA.NS,2,1.0,leiden
2010-07-06,nifty50,CIPLA.NS,0,1.0,leiden
2010-07-06,nifty50,DIVISLAB.NS,1,1.0,leiden
2010-07-06,nifty50,DRREDDY.NS,2,1.0,leiden
2010-07-06,nifty50,EICHERMOT.NS,3,1.0,leiden
2010-07-06,nifty50,GRASIM.NS,3,1.0,leiden
2010-07-06,nifty50,HCLTECH.NS,2,1.0,leiden
2010-07-06,nifty50,HDFCBANK.NS,0,1.0,leiden
2010-07-06,nifty50,HEROMOTOCO.NS,0,1.0,leiden
2010-07-06,nifty50,HINDALCO.NS,3,1.0,leiden
2010-07-06,nifty50,HINDUNILVR.NS,1,1.0,leiden
2010-07-06,nifty50,ICICIBANK.NS,0,1.0,leiden
2010-07-06,nifty50,INDUSINDBK.NS,0,1.0,leiden
2010-07-06,nifty50,INFY.NS,2,1.0,leiden
2010-07-06,nifty50,ITC.NS,0,1.0,leiden
2010-07-06,nifty50,JSWSTEEL.NS,4,1.0,leiden
2010-07-06,nifty50,KOTAKBANK.NS,1,1.0,leiden
2010-07-06,nifty50,LT.NS,1,1.0,leiden
2010-07-06,nifty50,M&M.NS,4,1.0,leiden
2010-07-06,nifty50,MARUTI.NS,0,1.0,leiden
2010-07-06,nifty50,NESTLEIND.NS,2,1.0,leiden
2010-07-06,nifty50,NTPC.NS,1,1.0,leiden
2010-07-06,nifty50,ONGC.NS,1,1.0,leiden
2010-07-06,nifty50,POWERGRID.NS,1,1.0,leiden
2010-07-06,nifty50,RELIANCE.NS,3,1.0,leiden
2010-07-06,nifty50,SBIN.NS,1,1.0,leiden
2010-07-06,nifty50,SHRIRAMFIN.NS,1,1.0,leiden
