date,market,ticker,community,ari_stability
2010-04-01,bovespa,ABEV3.SA,4,1.0
2010-04-01,bovespa,BBAS3.SA,4,1.0
2010-04-01,bovespa,BBDC3.SA,4,1.0
2010-04-01,bovespa,BBDC4.SA,4,1.0
2010-04-01,bovespa,BEEF3.SA,0,1.0
2010-04-01,bovespa,CMIG4.SA,2,1.0
2010-04-01,bovespa,CSAN3.SA,4,1.0
2010-04-01,bovespa,CSNA3.SA,0,1.0
2010-04-01,bovespa,ENEV3.SA,4,1.0
2010-04-01,bovespa,EZTC3.SA,3,1.0
2010-04-01,bovespa,FLRY3.SA,3,1.0
2010-04-01,bovespa,GGBR4.SA,3,1.0
2010-04-01,bovespa,ITSA4.SA,2,1.0
2010-04-01,bovespa,ITUB4.SA,2,1.0
2010-04-01,bovespa,LREN3.SA,4,1.0
2010-04-01,bovespa,MRVE3.SA,3,1.0
2010-04-01,bovespa,MULT3.SA,2,1.0
2010-04-01,bovespa,PETR3.SA,1,1.0
2010-04-01,bovespa,PETR4.SA,1,1.0
2010-04-01,bovespa,RADL3.SA,4,1.0
2010-04-01,bovespa,RENT3.SA,3,1.0
2010-04-01,bovespa,SANB11.SA,2,1.0
2010-04-01,bovespa,SBSP3.SA,0,1.0
2010-04-01,bovespa,SMTO3.SA,3,1.0
2010-04-01,bovespa,SUZB3.SA,0,1.0
2010-04-01,bovespa,UGPA3.SA,4,1.0
2010-04-01,bovespa,USIM5.SA,0,1.0
2010-04-01,bovespa,VALE3.SA,0,1.0
2010-04-01,bovespa,WEGE3.SA,0,1.0
2010-04-01,bovespa,YDUQ3.SA,0,1.0
2010-04-05,bovespa,ABEV3.SA,3,0.4761290322580645
2010-04-05,bovespa,BBAS3.SA,4,0.4761290322580645
2010-04-05,bovespa,BBDC3.SA,3,0.4761290322580645
2010-04-05,bovespa,BBDC4.SA,3,0.4761290322580645
2010-04-05,bovespa,BEEF3.SA,0,0.4761290322580645
2010-04-05,bovespa,CMIG4.SA,3,0.4761290322580645
2010-04-05,bovespa,CSAN3.SA,4,0.4761290322580645
2010-04-05,bovespa,CSNA3.SA,0,0.4761290322580645
2010-04-05,bovespa,ENEV3.SA,0,0.4761290322580645
2010-04-05,bovespa,EZTC3.SA,4,0.4761290322580645
2010-04-05,bovespa,FLRY3.SA,4,0.4761290322580645
2010-04-05,bovespa,GGBR4.SA,4,0.4761290322580645
2010-04-05,bovespa,ITSA4.SA,3,0.4761290322580645
2010-04-05,bovespa,ITUB4.SA,3,0.4761290322580645
2010-04-05,bovespa,LREN3.SA,0,0.4761290322580645
2010-04-05,bovespa,MRVE3.SA,4,0.4761290322580645
2010-04-05,bovespa,MULT3.SA,3,0.4761290322580645
