date,market,ticker,community,ari_stability
2010-04-01,nifty50,ADANIENT.NS,1,1.0
2010-04-01,nifty50,ADANIPORTS.NS,3,1.0
2010-04-01,nifty50,ASIANPAINT.NS,1,1.0
2010-04-01,nifty50,AXISBANK.NS,1,1.0
2010-04-01,nifty50,BAJAJFINSV.NS,0,1.0
2010-04-01,nifty50,BAJFINANCE.NS,3,1.0
2010-04-01,nifty50,BHARTIARTL.NS,3,1.0
2010-04-01,nifty50,HCLTECH.NS,2,1.0
2010-04-01,nifty50,HDFCBANK.NS,0,1.0
2010-04-01,nifty50,HINDUNILVR.NS,4,1.0
2010-04-01,nifty50,ICICIBANK.NS,0,1.0
2010-04-01,nifty50,INFY.NS,2,1.0
2010-04-01,nifty50,ITC.NS,1,1.0
2010-04-01,nifty50,JSWSTEEL.NS,1,1.0
2010-04-01,nifty50,KOTAKBANK.NS,3,1.0
2010-04-01,nifty50,LT.NS,0,1.0
2010-04-01,nifty50,M&M.NS,3,1.0
2010-04-01,nifty50,MARUTI.NS,0,1.0
2010-04-01,nifty50,NTPC.NS,0,1.0
2010-04-01,nifty50,ONGC.NS,4,1.0
2010-04-01,nifty50,POWERGRID.NS,4,1.0
2010-04-01,nifty50,RELIANCE.NS,0,1.0
2010-04-01,nifty50,SBIN.NS,0,1.0
2010-04-01,nifty50,SUNPHARMA.NS,3,1.0
2010-04-01,nifty50,TATASTEEL.NS,1,1.0
2010-04-01,nifty50,TCS.NS,2,1.0
2010-04-01,nifty50,TECHM.NS,2,1.0
2010-04-01,nifty50,TITAN.NS,1,1.0
2010-04-01,nifty50,ULTRACEMCO.NS,4,1.0
2010-04-01,nifty50,WIPRO.NS,2,1.0
2010-04-05,nifty50,ADANIENT.NS,1,0.6410276372129233
2010-04-05,nifty50,ADANIPORTS.NS,4,0.6410276372129233
2010-04-05,nifty50,ASIANPAINT.NS,4,0.6410276372129233
2010-04-05,nifty50,AXISBANK.NS,1,0.6410276372129233
2010-04-05,nifty50,BAJAJFINSV.NS,2,0.6410276372129233
2010-04-05,nifty50,BAJFINANCE.NS,4,0.6410276372129233
2010-04-05,nifty50,BHARTIARTL.NS,4,0.6410276372129233
2010-04-05,nifty50,HCLTECH.NS,3,0.6410276372129233
2010-04-05,nifty50,HDFCBANK.NS,2,0.6410276372129233
2010-04-05,nifty50,HINDUNILVR.NS,2,0.6410276372129233
2010-04-05,nifty50,ICICIBANK.NS,2,0.6410276372129233
2010-04-05,nifty50,INFY.NS,3,0.6410276372129233
2010-04-05,nifty50,ITC.NS,1,0.6410276372129233
2010-04-05,nifty50,JSWSTEEL.NS,1,0.6410276372129233
2010-04-05,nifty50,KOTAKBANK.NS,4,0.6410276372129233
2010-04-05,nifty50,LT.NS,2,0.6410276372129233
2010-04-05,nifty50,M&M.NS,4,0.6410276372129233
2010-04-05,nifty50,MARUTI.NS,2,0.6410276372129233
2010-04-05,nifty50,NTPC.NS,2,0.6410276372129233
2010-04-05,nifty50,ONGC.NS,2,0.6410276372129233
2010-04-05,nifty50,POWERGRID.NS,2,0.6410276372129233
2010-04-05,nifty50,RELIANCE.NS,1,0.6410276372129233
2010-04-05,nifty50,SBIN.NS,2,0.6410276372129233
2010-04-05,nifty50,SUNPHARMA.NS,4,0.6410276372129233
2010-04-05,nifty50,TATASTEEL.NS,1,0.6410276372129233
2010-04-05,nifty50,TCS.NS,3,0.6410276372129233
2010-04-05,nifty50,TECHM.NS,3,0.6410276372129233
2010-04-05,nifty50,TITAN.NS,1,0.6410276372129233
2010-04-05,nifty50,ULTRACEMCO.NS,2,0.6410276372129233
2010-04-05,nifty50,WIPRO.NS,3,0.6410276372129233
2010-04-06,nifty50,ADANIENT.NS,4,0.307286804678491
2010-04-06,nifty50,ADANIPORTS.NS,1,0.307286804678491
2010-04-06,nifty50,ASIANPAINT.NS,1,0.307286804678491
2010-04-06,nifty50,AXISBANK.NS,1,0.307286804678491
2010-04-06,nifty50,BAJAJFINSV.NS,1,0.307286804678491
2010-04-06,nifty50,BAJFINANCE.NS,4,0.307286804678491
2010-04-06,nifty50,BHARTIARTL.NS,4,0.307286804678491
2010-04-06,nifty50,HCLTECH.NS,0,0.307286804678491
2010-04-06,nifty50,HDFCBANK.NS,2,0.307286804678491
2010-04-06,nifty50,HINDUNILVR.NS,1,0.307286804678491
2010-04-06,nifty50,ICICIBANK.NS,2,0.307286804678491
2010-04-06,nifty50,INFY.NS,0,0.307286804678491
2010-04-06,nifty50,ITC.NS,4,0.307286804678491
2010-04-06,nifty50,JSWSTEEL.NS,4,0.307286804678491
2010-04-06,nifty50,KOTAKBANK.NS,2,0.307286804678491
2010-04-06,nifty50,LT.NS,1,0.307286804678491
2010-04-06,nifty50,M&M.NS,1,0.307286804678491
2010-04-06,nifty50,MARUTI.NS,1,0.307286804678491
2010-04-06,nifty50,NTPC.NS,2,0.307286804678491
2010-04-06,nifty50,ONGC.NS,1,0.307286804678491
2010-04-06,nifty50,POWERGRID.NS,1,0.307286804678491
2010-04-06,nifty50,RELIANCE.NS,4,0.307286804678491
2010-04-06,nifty50,SBIN.NS,2,0.307286804678491
2010-04-06,nifty50,SUNPHARMA.NS,1,0.307286804678491
2010-04-06,nifty50,TATASTEEL.NS,4,0.307286804678491
2010-04-06,nifty50,TCS.NS,0,0.307286804678491
2010-04-06,nifty50,TECHM.NS,0,0.307286804678491
2010-04-06,nifty50,TITAN.NS,1,0.307286804678491
2010-04-06,nifty50,ULTRACEMCO.NS,1,0.307286804678491
2010-04-06,nifty50,WIPRO.NS,0,0.307286804678491
2010-04-07,nifty50,ADANIENT.NS,1,0.6381891634980988
2010-04-07,nifty50,ADANIPORTS.NS,4,0.6381891634980988
2010-04-07,nifty50,ASIANPAINT.NS,4,0.6381891634980988
2010-04-07,nifty50,AXISBANK.NS,4,0.6381891634980988
2010-04-07,nifty50,BAJAJFINSV.NS,4,0.6381891634980988
2010-04-07,nifty50,BAJFINANCE.NS,1,0.6381891634980988
2010-04-07,nifty50,BHARTIARTL.NS,1,0.6381891634980988
2010-04-07,nifty50,HCLTECH.NS,3,0.6381891634980988
2010-04-07,nifty50,HDFCBANK.NS,2,0.6381891634980988
2010-04-07,nifty50,HINDUNILVR.NS,0,0.6381891634980988
2010-04-07,nifty50,ICICIBANK.NS,2,0.6381891634980988
2010-04-07,nifty50,INFY.NS,3,0.6381891634980988
2010-04-07,nifty50,ITC.NS,1,0.6381891634980988
2010-04-07,nifty50,JSWSTEEL.NS,1,0.6381891634980988
2010-04-07,nifty50,KOTAKBANK.NS,2,0.6381891634980988
2010-04-07,nifty50,LT.NS,2,0.6381891634980988
2010-04-07,nifty50,M&M.NS,4,0.6381891634980988
2010-04-07,nifty50,MARUTI.NS,4,0.6381891634980988
2010-04-07,nifty50,NTPC.NS,0,0.6381891634980988
2010-04-07,nifty50,ONGC.NS,0,0.6381891634980988
2010-04-07,nifty50,POWERGRID.NS,0,0.6381891634980988
2010-04-07,nifty50,RELIANCE.NS,1,0.6381891634980988
2010-04-07,nifty50,SBIN.NS,2,0.6381891634980988
2010-04-07,nifty50,SUNPHARMA.NS,4,0.6381891634980988
2010-04-07,nifty50,TATASTEEL.NS,1,0.6381891634980988
2010-04-07,nifty50,TCS.NS,3,0.6381891634980988
2010-04-07,nifty50,TECHM.NS,3,0.6381891634980988
2010-04-07,nifty50,TITAN.NS,4,0.6381891634980988
2010-04-07,nifty50,ULTRACEMCO.NS,0,0.6381891634980988
2010-04-07,nifty50,WIPRO.NS,3,0.6381891634980988
2010-04-08,nifty50,ADANIENT.NS,1,0.8762622671028303
2010-04-08,nifty50,ADANIPORTS.NS,4,0.8762622671028303
2010-04-08,nifty50,ASIANPAINT.NS,4,0.8762622671028303
2010-04-08,nifty50,AXISBANK.NS,4,0.8762622671028303
2010-04-08,nifty50,BAJAJFINSV.NS,4,0.8762622671028303
2010-04-08,nifty50,BAJFINANCE.NS,1,0.8762622671028303
2010-04-08,nifty50,BHARTIARTL.NS,1,0.8762622671028303
2010-04-08,nifty50,HCLTECH.NS,3,0.8762622671028303
2010-04-08,nifty50,HDFCBANK.NS,2,0.8762622671028303
2010-04-08,nifty50,HINDUNILVR.NS,0,0.8762622671028303
2010-04-08,nifty50,ICICIBANK.NS,2,0.8762622671028303
2010-04-08,nifty50,INFY.NS,3,0.8762622671028303
2010-04-08,nifty50,ITC.NS,1,0.8762622671028303
2010-04-08,nifty50,JSWSTEEL.NS,1,0.8762622671028303
2010-04-08,nifty50,KOTAKBANK.NS,2,0.8762622671028303
2010-04-08,nifty50,LT.NS,0,0.8762622671028303
2010-04-08,nifty50,M&M.NS,4,0.8762622671028303
2010-04-08,nifty50,MARUTI.NS,4,0.8762622671028303
2010-04-08,nifty50,NTPC.NS,2,0.8762622671028303
2010-04-08,nifty50,ONGC.NS,0,0.8762622671028303
2010-04-08,nifty50,POWERGRID.NS,0,0.8762622671028303
2010-04-08,nifty50,RELIANCE.NS,1,0.8762622671028303
2010-04-08,nifty50,SBIN.NS,2,0.8762622671028303
2010-04-08,nifty50,SUNPHARMA.NS,4,0.8762622671028303
2010-04-08,nifty50,TATASTEEL.NS,1,0.8762622671028303
