date,VALE3.SA,PETR4.SA,PETR3.SA,ITUB4.SA,BBDC4.SA,BBAS3.SA,ABEV3.SA,WEGE3.SA,CMIG4.SA,RENT3.SA,SUZB3.SA,SBSP3.SA,ITSA4.SA,UGPA3.SA,CSAN3.SA,ENEV3.SA,RADL3.SA,FLRY3.SA,SMTO3.SA,BEEF3.SA,CSNA3.SA,GGBR4.SA,USIM5.SA,LREN3.SA,SANB11.SA,BBDC3.SA,YDUQ3.SA,MULT3.SA,EZTC3.SA,MRVE3.SA
2010-01-04,19.424936294555664,7.883881092071533,10.145084381103516,7.132791996002197,6.058482646942139,4.803068161010742,3.1081461906433105,1.914481282234192,1.5806610584259033,3.9745383262634277,12.587876319885254,1.2884150743484497,1.9285775423049927,1.978463053703308,3.731019973754883,84.67497253417969,1.4765750169754028,4.522974491119385,4.037343978881836,4.173679351806641,11.906895637512207,13.064926147460938,19.134685516357422,3.526458740234375,8.049750328063965,4.081140518188477,5.078549861907959,7.546461582183838,2.4710886478424072,6.99976921081543
2010-01-05,19.606019973754883,7.816283702850342,10.084189414978027,7.179015636444092,6.028674602508545,4.75487756729126,3.126430034637451,1.9103020429611206,1.6048473119735718,4.02753210067749,12.587876319885254,1.2903125286102295,1.92234206199646,1.978463053703308,3.732484817504883,83.49688720703125,1.4407001733779907,4.497984409332275,4.256910800933838,4.338619232177734,12.017046928405762,13.285612106323242,19.19096565246582,3.399418830871582,8.127704620361328,4.024933338165283,5.139383316040039,7.512869834899902,2.519653081893921,6.908135414123535
2010-01-06,20.021011352539062,7.921905040740967,10.184054374694824,7.1167893409729,5.980440139770508,4.761301040649414,3.1583240032196045,1.9207477569580078,1.5746164321899414,4.3414225578308105,12.587876319885254,1.2899333238601685,1.898955225944519,1.978463053703308,3.625674247741699,84.49089813232422,1.4552580118179321,4.660412311553955,4.256910800933838,4.553757667541504,12.03187370300293,13.373892784118652,19.172203063964844,3.3337066173553467,8.087032318115234,4.001226902008057,5.223292350769043,7.613641738891602,2.502511978149414,7.025223255157471
2010-01-07,20.104001998901367,7.847970962524414,10.123160362243652,7.043893814086914,5.964361190795898,4.762910842895508,3.1731529235839844,1.9531254768371582,1.55949866771698,4.157979965209961,12.587876319885254,1.2694392204284668,1.8880418539047241,1.978463053703308,3.4325389862060547,87.62018585205078,1.4453797340393066,4.675403118133545,4.1829752922058105,4.654155731201172,11.904776573181152,13.07375431060791,19.352296829223633,3.3030436038970947,8.029412269592285,3.9920058250427246,5.139383316040039,7.580049991607666,2.4967989921569824,6.77068567276001
2010-01-08,20.300172805786133,7.805718421936035,10.047647476196289,6.937222957611084,5.957934379577637,4.790217399597168,3.167060136795044,2.0241479873657227,1.5579863786697388,4.196705341339111,12.587876319885254,1.2906923294067383,1.874010682106018,1.978463053703308,3.4632649421691895,88.57738494873047,1.470855712890625,4.770362854003906,4.312923431396484,4.948178291320801,12.173799514770508,13.038440704345703,19.07840919494629,3.320565938949585,7.948069095611572,3.997270345687866,5.139383316040039,7.24415397644043,2.5139403343200684,6.572148323059082
2010-01-11,20.239810943603516,7.780369281768799,10.057393074035645,6.876778602600098,5.962761878967285,4.827165126800537,3.1284615993499756,2.0011703968048096,1.5569778680801392,4.219127655029297,12.587876319885254,1.3001796007156372,1.867773413658142,1.978463053703308,3.474971055984497,88.06197357177734,1.510369896888733,4.810345649719238,4.471996784210205,4.85495138168335,12.413166999816895,13.04726791381836,19.130935668945312,3.3818960189819336,8.032803535461426,3.9841039180755615,5.139383316040039,7.100837230682373,2.5139403343200684,6.658690452575684
2010-01-12,20.183223724365234,7.6810832023620605,9.930733680725098,6.812770843505859,5.980440139770508,4.787003517150879,3.1487765312194824,2.047126054763794,1.5645347833633423,4.3414225578308105,12.587876319885254,1.275132417678833,1.867773413658142,1.978463053703308,3.401813507080078,89.57139587402344,1.517648696899414,4.897805213928223,4.445109844207764,5.005548000335693,12.18227481842041,12.95457649230957,18.60942268371582,3.460747480392456,8.046358108520508,4.00385856628418,4.908636093139648,7.087405681610107,2.5139403343200684,6.77068567276001
2010-01-13,20.432207107543945,7.668405055999756,9.84061050415039,6.834109783172607,6.012594699859619,4.848047256469727,3.189406156539917,1.984458565711975,1.5675594806671143,4.365880966186523,12.587876319885254,1.2895532846450806,1.8615387678146362,1.978463053703308,3.3725504875183105,89.46094512939453,1.5545626878738403,4.910297870635986,4.344289779663086,5.005548000335693,12.39198112487793,13.016371726989746,18.646942138671875,3.5001742839813232,8.100593566894531,4.0302019119262695,4.8268256187438965,7.009027481079102,2.4996564388275146,6.673962116241455
2010-01-14,20.428443908691406,7.535317897796631,9.682283401489258,6.739877223968506,5.883987903594971,4.7789740562438965,3.2351131439208984,1.9729697704315186,1.5317834615707397,4.376070499420166,12.587876319885254,1.271716594696045,1.8350337743759155,1.978463053703308,3.4530229568481445,87.28884887695312,1.5545626878738403,4.997760772705078,4.21434211730957,4.955348968505859,12.497896194458008,13.003128051757812,18.75199317932129,3.422196865081787,7.880283832550049,3.9775216579437256,4.719842910766602,7.098601818084717,2.502511978149414,6.740141868591309
2010-01-15,20.16436195373535,7.552215099334717,9.740742683410645,6.626098155975342,5.800386428833008,4.698653697967529,3.229628801345825,1.964613676071167,1.5065886974334717,4.339382648468018,12.587876319885254,1.2713372707366943,1.7898198366165161,1.978463053703308,3.428149700164795,87.98834228515625,1.5488429069519043,4.925294399261475,4.133684158325195,5.070088863372803,12.235231399536133,12.73388671875,18.87205696105957,3.3012917041778564,7.761654376983643,3.887958526611328,4.791163444519043,7.120993614196777,2.476801872253418,6.617963790893555
