date,YUM,WM,WAT,WEC,WFC,WELL,WST,WDC,WY,WSM,WMB,WTW,TSN,WYNN,XEL,USB,ZBH,AOS,ABT,UDR,ACN,ADBE,AMD,AES,AFL,A,APD,ULTA,AKAM,ALB
2010-01-04,18.345008850097656,22.704212188720703,61.630001068115234,14.470660209655762,17.835872650146484,21.87009048461914,17.51384925842285,27.345783233642578,9.320830345153809,7.187618732452393,7.910168647766113,51.64543914794922,8.903830528259277,40.592857360839844,12.08792495727539,13.95783519744873,51.58545684814453,5.7561798095703125,18.20775032043457,8.920463562011719,31.227352142333984,37.09000015258789,9.699999809265137,8.618391990661621,15.96981143951416,19.810983657836914,51.11274719238281,18.641414642333984,25.920000076293945,30.162437438964844
2010-01-05,18.28226089477539,22.604501724243164,60.790000915527344,14.281523704528809,18.325502395629883,22.177978515625,17.2919864654541,28.070810317993164,9.518692970275879,7.387751579284668,8.009000778198242,51.52968978881836,9.071142196655273,43.061683654785156,11.944564819335938,14.311664581298828,53.21846008300781,5.682631492614746,18.060638427734375,8.909459114074707,31.42035675048828,37.70000076293945,9.710000038146973,8.53012752532959,16.433095932006836,19.595787048339844,50.68864822387695,18.552410125732422,26.690000534057617,30.107013702392578
2010-01-06,18.151575088500977,22.597856521606445,60.900001525878906,14.427016258239746,18.35161590576172,22.068723678588867,17.123371124267578,28.094989776611328,9.413445472717285,7.650000095367432,8.268892288208008,52.359249114990234,9.529425621032715,42.49684524536133,11.967501640319824,14.4641752243042,53.20125961303711,5.685211181640625,18.160940170288086,8.848923683166504,31.75437355041504,37.619998931884766,9.569999694824219,8.441864013671875,16.57745361328125,19.526166915893555,50.27071762084961,19.0073184967041,26.469999313354492,30.162437438964844
2010-01-07,18.146345138549805,22.651029586791992,61.15999984741211,14.397916793823242,19.01752471923828,22.11341667175293,17.176624298095703,27.54515266418457,9.371345520019531,8.015762329101562,8.210321426391602,52.20492172241211,9.696737289428711,43.40441131591797,11.915892601013184,14.74479866027832,54.421722412109375,5.7019853591918945,18.31138801574707,8.914961814880371,31.72468376159668,36.88999938964844,9.470000267028809,8.448166847229004,16.755382537841797,19.500850677490234,49.98183059692383,20.62917137145996,26.479999542236328,29.948627471923828
2010-01-08,18.151575088500977,22.757366180419922,61.209999084472656,14.482305526733398,18.84125328063965,21.884977340698242,17.172182083129883,27.684127807617188,9.285040855407715,7.89154052734375,8.27621078491211,52.14705276489258,9.67491340637207,43.09342575073242,11.921632766723633,14.76920223236084,53.27861404418945,5.7858567237854,18.405004501342773,8.738863945007324,31.59848976135254,36.689998626708984,9.430000305175781,8.68774127960205,16.587533950805664,19.4945125579834,50.30143356323242,21.370872497558594,26.479999542236328,30.39999771118164
2010-01-11,18.46525764465332,23.04316520690918,62.43000030517578,14.6976318359375,18.802080154418945,21.93463706970215,17.096752166748047,27.71434211730957,9.346087455749512,7.822526931762695,8.224966049194336,52.667930603027344,9.543976783752441,42.95379638671875,12.036314964294434,14.836305618286133,54.45610046386719,5.75875997543335,18.498615264892578,8.799398422241211,31.568801879882812,36.209999084472656,9.140000343322754,8.744482040405273,17.023948669433594,19.507177352905273,51.223388671875,21.044525146484375,26.389999389648438,30.26537322998047
2010-01-12,18.815532684326172,23.18274688720703,62.4900016784668,14.636520385742188,18.332042694091797,21.73600959777832,17.034631729125977,27.001386642456055,9.236626625061035,7.605139255523682,7.983380317687988,52.802982330322266,9.434861183166504,43.144203186035156,12.179675102233887,14.83021068572998,53.40754318237305,5.718757152557373,18.445117950439453,8.58477783203125,31.368389129638672,35.65999984741211,8.649999618530273,8.643610000610352,16.936668395996094,19.272991180419922,50.571861267089844,20.90607261657715,26.15999984741211,29.8456974029541
2010-01-13,18.87337303161621,23.129573822021484,62.61000061035156,14.735454559326172,18.65846824645996,22.202800750732422,17.07456398010254,27.466615676879883,9.320830345153809,7.850132465362549,7.990701675415039,52.918739318847656,9.682188987731934,44.04541778564453,12.368908882141113,15.074222564697266,53.75992965698242,5.68649959564209,18.620248794555664,8.835309028625488,31.72468376159668,36.279998779296875,9.149999618530273,8.876882553100586,17.121305465698242,19.42489242553711,51.07587814331055,21.07419204711914,26.040000915527344,30.1466121673584
2010-01-14,19.078460693359375,22.890300750732422,62.150001525878906,14.700541496276855,18.92612648010254,22.038930892944336,17.092302322387695,27.6539249420166,9.232418060302734,7.501620292663574,7.943112850189209,52.802982330322266,10.213218688964844,45.76533126831055,12.391843795776367,15.4524564743042,53.91462707519531,5.713598251342773,18.640443801879883,8.762934684753418,32.00674057006836,35.900001525878906,9.0,8.883188247680664,17.346233367919922,19.716053009033203,50.44280242919922,20.21381950378418,26.8799991607666,30.02782440185547
2010-01-15,18.757680892944336,22.09937858581543,60.7599983215332,14.630709648132324,18.332042694091797,21.99919319152832,17.007644653320312,26.572416305541992,9.175583839416504,7.073747158050537,7.822317600250244,52.18561935424805,10.104103088378906,44.74354934692383,12.2771635055542,15.019325256347656,53.07233810424805,5.669726848602295,18.687597274780273,8.657154083251953,31.776628494262695,35.869998931884766,8.84000015258789,8.851662635803223,17.158235549926758,19.260326385498047,50.873043060302734,20.124814987182617,26.610000610351562,30.004070281982422
