date,HCLTECH.NS,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BHARTIARTL.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS,LT.NS,AXISBANK.NS,BAJFINANCE.NS,WIPRO.NS,ASIANPAINT.NS,MARUTI.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,ONGC.NS,NTPC.NS,POWERGRID.NS,M&M.NS,TATASTEEL.NS,ADANIENT.NS,ADANIPORTS.NS,BAJAJFINSV.NS,TECHM.NS,JSWSTEEL.NS
2010-01-04,62.35279083251953,217.5870819091797,74.94451141357422,259.259033203125,133.35313415527344,222.17860412597656,185.35867309570312,270.07568359375,197.10946655273438,48.35356521606445,40.64349365234375,597.9636840820312,180.6279296875,3.0281050205230713,63.930519104003906,155.1796875,1369.43896484375,134.28285217285156,65.58618927001953,901.8199462890625,96.0494384765625,111.69751739501953,35.396270751953125,237.0225372314453,40.31861877441406,57.553627014160156,101.86460876464844,34.71963882446289,177.30885314941406,85.48834991455078
2010-01-05,63.75575256347656,216.61595153808594,75.01043701171875,259.32806396484375,134.61891174316406,222.92271423339844,185.42745971679688,274.352783203125,196.4765625,48.83015823364258,41.0460319519043,599.0244140625,184.396728515625,3.007805109024048,64.93953704833984,155.66986083984375,1338.0150146484375,138.31846618652344,66.93112182617188,920.4892578125,97.73189544677734,110.46903228759766,35.506492614746094,241.3860321044922,41.295169830322266,58.88541793823242,105.37749481201172,34.79691696166992,179.57936096191406,94.84403991699219
2010-01-06,61.83195114135742,220.115966796875,75.06096649169922,253.46441650390625,135.64968872070312,219.66986083984375,186.5398406982422,271.44598388671875,197.593505859375,48.94451141357422,41.54486846923828,592.3956909179688,181.3015594482422,3.0510520935058594,63.62643814086914,155.2013397216797,1290.174072265625,140.113525390625,68.00846099853516,921.6094360351562,98.96540832519531,109.9390640258789,35.758426666259766,247.17599487304688,40.84666061401367,64.69683837890625,110.60108947753906,33.975887298583984,180.46328735351562,96.0182113647461
2010-01-07,60.51296615600586,223.76768493652344,75.25647735595703,246.41073608398438,134.36878967285156,214.73313903808594,185.49620056152344,273.56378173828125,197.1839599609375,48.79202651977539,42.01161193847656,589.5498046875,182.58514404296875,3.0325188636779785,62.49766540527344,153.61807250976562,1282.8037109375,137.97994995117188,69.6994400024414,913.2546997070312,99.07052612304688,109.963134765625,36.07332992553711,242.46640014648438,41.339698791503906,62.02690124511719,109.29290008544922,33.710269927978516,176.4941864013672,93.97073364257812
2010-01-08,59.101585388183594,223.18099975585938,75.35536193847656,241.37493896484375,132.4814910888672,209.5583953857422,184.94207763671875,269.951171875,198.0403289794922,48.89686584472656,41.752315521240234,593.279541015625,184.9701690673828,3.0876784324645996,61.55779266357422,156.1557159423828,1265.0174560546875,140.30506896972656,69.0557861328125,924.4097290039062,98.33447265625,111.33618927001953,36.16780090332031,242.4873504638672,41.253822326660156,62.8106803894043,109.16483306884766,33.80685806274414,181.13925170898438,93.43588256835938
2010-01-11,59.689659118652344,218.80093383789062,75.05218505859375,246.341796875,131.79173278808594,211.72265625,183.41708374023438,273.1900329589844,198.15200805664062,48.91593551635742,41.91282653808594,592.9790649414062,191.06036376953125,3.165785074234009,60.94500732421875,155.89112854003906,1284.0833740234375,140.2827911376953,68.49755096435547,925.57666015625,98.39920043945312,112.22745513916016,36.34177017211914,243.1796112060547,41.25700378417969,63.93218231201172,112.87898254394531,33.95657730102539,179.99534606933594,95.49171447753906
2010-01-12,61.806724548339844,219.3775177001953,74.48318481445312,258.70733642578125,127.75189971923828,219.99717712402344,178.23947143554688,267.62567138671875,195.2105712890625,47.66730499267578,40.65089797973633,593.6685180664062,191.0421142578125,3.0466392040252686,63.930519104003906,159.96006774902344,1271.94677734375,140.02444458007812,68.32220458984375,919.0890502929688,96.33255004882812,110.51718139648438,35.819889068603516,250.10240173339844,39.796939849853516,59.72654342651367,114.57138061523438,33.14037322998047,181.21730041503906,94.26741027832031
2010-01-13,63.50373077392578,220.2373809814453,74.22393798828125,271.98663330078125,127.43354034423828,228.2080535888672,176.0308837890625,264.4283752441406,195.4713134765625,47.45761489868164,40.15452575683594,591.5296020507812,189.40350341796875,2.8860104084014893,65.93928527832031,161.2180633544922,1261.1337890625,137.88641357421875,67.79161834716797,963.7086791992188,96.68441772460938,110.51718139648438,36.357582092285156,242.0048828125,40.66851806640625,59.05746078491211,118.8984603881836,32.78782653808594,188.4188232421875,95.3997802734375
2010-01-14,62.184783935546875,226.9339141845703,73.98229217529297,268.9858093261719,126.62255859375,228.73948669433594,174.53021240234375,264.1376953125,190.66827392578125,47.305091857910156,40.71757888793945,589.8325805664062,194.10079956054688,2.963236093521118,68.28899383544922,163.25253295898438,1248.8643798828125,138.92872619628906,70.00627899169922,974.536865234375,99.6327133178711,111.28803253173828,37.11667251586914,245.79141235351562,41.206111907958984,61.491641998291016,116.94989013671875,32.85543441772461,187.43955993652344,98.78855895996094
2010-01-15,62.06716537475586,224.7185516357422,74.43702697753906,272.9697265625,127.7064208984375,227.55308532714844,173.39759826660156,263.59783935546875,190.92886352539062,48.182010650634766,40.59410095214844,583.751953125,196.2310028076172,2.99191951751709,67.80988311767578,162.40664672851562,1247.6285400390625,135.86410522460938,69.93014526367188,967.955810546875,97.85723876953125,111.89022064208984,37.52785110473633,242.7600860595703,41.043880462646484,61.47890090942383,118.75209045410156,33.183837890625,197.09359741210938,98.60051727294922
2010-01-18,63.26851272583008,222.44256591796875,77.62252807617188,276.6947937011719,130.87466430664062,228.475830078125,174.4533233642578,266.3385314941406,191.59902954101562,47.762611389160156,42.0733528137207,585.0068359375,201.66567993164062,3.084148645401001,68.87873840332031,161.9424591064453,1261.6632080078125,135.0935821533203,69.4756851196289,935.984619140625,98.0796890258789,111.40848541259766,37.19574737548828,248.3087921142578,40.557186126708984,60.74607849121094,118.75209045410156,33.45912551879883,197.07627868652344,97.68960571289062
2010-01-19,63.31053161621094,219.50904846191406,78.17394256591797,269.27899169921875,131.2005615234375,224.1599884033203,175.80438232421875,266.21392822265625,190.22145080566406,47.638702392578125,42.40426254272461,580.6760864257812,201.3197479248047,2.992802858352661,68.09090423583984,160.0511016845703,1252.7923583984375,132.3720245361328,70.78370666503906,932.9976806640625,96.80573272705078,109.69821166992188,36.76875305175781,243.26353454589844,40.566734313964844,60.50394821166992,115.68745422363281,34.072471618652344,193.67050170898438,96.54052734375
2010-01-20,64.01620483398438,217.99169921875,77.15901184082031,268.83062744140625,133.08786010742188,226.0138702392578,174.73245239257812,275.30780029296875,191.97134399414062,47.10493469238281,43.22909164428711,578.3604125976562,197.3142852783203,2.994126081466675,66.94829559326172,158.50253295898438,1287.2608642578125,131.25399780273438,71.77107238769531,912.4613647460938,93.92211151123047,110.51718139648438,36.97434616088867,240.29510498046875,41.58782196044922,60.93726348876953,114.1048355102539,34.014530181884766,194.138427734375,96.4109878540039
2010-01-21,62.251983642578125,213.24746704101562,75.2059326171875,265.8125915527344,129.2602081298828,223.25003051757812,171.8402557373047,267.7502746582031,191.1894989013672,46.60930252075195,41.702919006347656,538.8179321289062,193.2178192138672,2.9045445919036865,65.37260437011719,157.20982360839844,1282.318115234375,130.4967803955078,70.32001495361328,882.497314453125,92.207275390625,107.67478942871094,35.9463996887207,240.16928100585938,41.225196838378906,59.59910202026367,114.05908203125,33.60883712768555,191.937255859375,93.98326873779297
2010-01-22,64.2934341430664,213.2069854736328,73.68791961669922,261.39764404296875,127.441162109375,219.03201293945312,168.86720275878906,267.542724609375,192.08309936523438,47.486202239990234,39.99153137207031,520.2927856445312,187.82862854003906,2.9071922302246094,64.5064468383789,153.13221740722656,1274.9915771484375,127.57030487060547,70.16084289550781,851.9262084960938,90.148681640625,107.09664154052734,36.15199661254883,237.70433044433594,39.73332214355469,59.07658386230469,112.59539794921875,33.661956787109375,197.1802978515625,91.73104858398438
2010-01-25,60.68937683105469,210.81971740722656,72.79158020019531,260.8284606933594,125.94042205810547,216.20013427734375,169.2110137939453,274.8094787597656,196.55101013183594,48.62998580932617,38.430789947509766,526.9216918945312,185.47088623046875,2.8838040828704834,64.05032348632812,154.11692810058594,1276.5364990234375,128.68386840820312,69.33035278320312,845.4854736328125,90.67852020263672,107.81932067871094,36.46827697753906,224.729248046875,38.80130386352539,57.89773178100586,110.02474975585938,33.17418670654297,181.83258056640625,88.15840148925781
2010-01-27,55.48073196411133,207.88619995117188,70.17729187011719,257.058837890625,119.34630584716797,212.7943115234375,160.8014373779297,268.1655578613281,193.12562561035156,48.782501220703125,37.78623962402344,515.4672241210938,177.10494995117188,2.7977535724639893,60.39213180541992,153.0931854248047,1209.0994873046875,126.59037017822266,69.1504135131836,849.5926513671875,89.69572448730469,104.30240631103516,35.8357048034668,212.0688934326172,35.60443878173828,56.725242614746094,107.09732818603516,31.46935272216797,163.69436645507812,80.22758483886719
2010-01-28,58.3623161315918,209.82838439941406,70.00372314453125,256.5228271484375,119.4599609375,211.90130615234375,162.06346130371094,260.48358154296875,190.10977172851562,48.46795654296875,38.5690803527832,506.0809631347656,185.48907470703125,2.804814338684082,62.05537414550781,156.40733337402344,1216.602294921875,128.8352813720703,70.34539794921875,860.8408203125,89.16594696044922,103.12208557128906,36.02547836303711,214.46044921875,37.242637634277344,56.69338607788086,107.25286865234375,30.996061325073242,172.77647399902344,82.71798706054688
2010-01-29,58.438106536865234,211.6593017578125,71.6645736694336,254.60337829589844,125.8721923828125,210.51947021484375,166.37948608398438,254.4624786376953,180.42926025390625,47.68636703491211,38.470306396484375,503.3763122558594,186.74537658691406,2.722735643386841,59.705657958984375,160.6931915283203,1226.4442138671875,131.22726440429688,69.24960327148438,868.1219482421875,88.68463897705078,103.24251556396484,35.64592742919922,213.4639892578125,36.20564651489258,56.48948287963867,108.8995361328125,30.77389907836914,168.55606079101562,82.35862731933594
2010-02-01,58.58976745605469,211.49745178222656,70.28933715820312,258.04443359375,126.69839477539062,208.45718383789062,163.51971435546875,258.44879150390625,176.66880798339844,46.99055480957031,38.76912307739258,501.0431823730469,193.4544677734375,2.7328851222991943,61.5808219909668,166.36276245117188,1234.82958984375,134.20716857910156,78.8280029296875,869.7088012695312,89.10121154785156,101.7972183227539,35.72500228881836,219.67352294921875,36.88954544067383,58.33740997314453,112.33924102783203,31.87504005432129,167.88011169433594,83.20686340332031
2010-02-02,57.654579162597656,207.83563232421875,69.38200378417969,255.3643798828125,124.15165710449219,207.4961700439453,160.04904174804688,255.50051879882812,176.1102294921875,46.590240478515625,37.23307418823242,493.6719970703125,188.85733032226562,2.664926528930664,60.189422607421875,162.7276611328125,1212.40966796875,134.8397216796875,77.06317901611328,896.8259887695312,89.38836669921875,99.2438735961914,35.96220779418945,213.93597412109375,36.47284698486328,59.49714660644531,114.38842010498047,31.908836364746094,164.4483184814453,81.43516540527344
2010-02-03,58.8004035949707,209.18101501464844,71.29988861083984,260.3962097167969,127.2516860961914,210.32383728027344,161.70350646972656,256.62176513671875,176.0730743408203,48.153419494628906,38.504886627197266,512.6742553710938,194.99293518066406,2.68390154838562,61.88951873779297,166.10690307617188,1215.67529296875,133.75730895996094,79.95147705078125,907.0474243164062,91.70982360839844,101.0986328125,35.72500228881836,221.1524658203125,38.196922302246094,62.00778579711914,119.8166732788086,32.66707992553711,167.06549072265625,88.2336196899414
2010-02-04,56.81202697753906,206.18673706054688,71.0362777709961,255.46791076660156,125.63723754882812,206.56922912597656,157.58563232421875,252.55235290527344,172.0519561767578,48.296382904052734,36.99599838256836,510.78277587890625,190.88734436035156,2.6402149200439453,60.37372589111328,166.419189453125,1204.9951171875,133.55238342285156,78.54656219482422,898.0860595703125,92.17896270751953,100.06285858154297,35.42451477050781,213.3485870361328,36.752769470214844,60.98187255859375,118.79715728759766,32.826454162597656,163.5557403564453,85.48834991455078
2010-02-05,56.81202697753906,198.6101531982422,69.1293716430664,250.21142578125,120.99103546142578,200.0763702392578,154.32481384277344,249.18882751464844,170.5626220703125,47.34323501586914,35.37845230102539,503.42938232421875,186.74537658691406,2.595644474029541,59.346290588378906,167.98519897460938,1199.478271484375,131.30300903320312,77.63531494140625,870.502197265625,87.97689819335938,98.42488861083984,33.96958541870117,204.79995727539062,35.00324249267578,59.503509521484375,116.67545318603516,33.502601623535156,162.35113525390625,80.66214752197266
2010-02-06,57.19960403442383,198.6101531982422,69.1293716430664,250.21142578125,120.99103546142578,200.0763702392578,154.32481384277344,249.18882751464844,170.5626220703125,47.34323501586914,35.37845230102539,503.42938232421875,186.74537658691406,2.595644474029541,59.346290588378906,167.98519897460938,1199.478271484375,131.30300903320312,77.63531494140625,870.502197265625,87.97689819335938,98.42488861083984,33.96958541870117,204.79995727539062,35.00324249267578,59.503509521484375,116.67545318603516,33.502601623535156,162.35113525390625,80.66214752197266
2010-02-08,57.56188201904297,201.16940307617188,68.86795043945312,250.43617248535156,122.08248138427734,204.40493774414062,157.47586059570312,256.0819091796875,176.1102294921875,46.77133560180664,36.45270538330078,510.6592102050781,186.19912719726562,2.5634307861328125,58.622947692871094,168.98292541503906,1202.2589111328125,134.6748504638672,78.45197296142578,867.98193359375,90.44395446777344,97.50951385498047,34.317508697509766,209.74032592773438,33.963069915771484,60.15985107421875,119.23800659179688,34.7244758605957,163.4517059326172,82.17476654052734
2010-02-09,58.42967224121094,200.94683837890625,69.05467987060547,254.2403106689453,123.15115356445312,210.37484741210938,158.59396362304688,260.06829833984375,173.20614624023438,46.49491882324219,36.744102478027344,516.8106689453125,189.08489990234375,2.616384983062744,60.29079055786133,170.27989196777344,1194.0499267578125,137.40084838867188,78.49579620361328,893.27880859375,89.48137664794922,98.28032684326172,34.190982818603516,207.9362030029297,33.94398880004883,61.013729095458984,117.55718994140625,33.671627044677734,163.26971435546875,82.45889282226562
2010-02-10,58.65717697143555,199.29800415039062,70.01691436767578,253.2547149658203,121.24116516113281,209.79225158691406,155.46731567382812,261.8538513183594,171.34449768066406,46.49491882324219,35.92917251586914,507.74237060546875,186.5541534423828,2.5965280532836914,59.68262481689453,171.74618530273438,1177.4111328125,134.47889709472656,79.52699279785156,919.2756958007812,87.9242935180664,96.59416961669922,33.93795394897461,201.0448455810547,33.23780822753906,61.313232421875,117.62149047851562,32.94718551635742,161.70118713378906,80.26936340332031
2010-02-11,58.78354263305664,205.3775177001953,70.2124252319336,256.851318359375,125.22034454345703,212.4711456298828,155.93896484375,261.1894226074219,173.8018798828125,47.11446762084961,36.3168830871582,511.94952392578125,188.11085510253906,2.575345516204834,60.41979217529297,168.72262573242188,1197.227294921875,135.44100952148438,80.15216827392578,934.3045654296875,88.99606323242188,97.91902160644531,33.858882904052734,207.01318359375,33.96943283081055,61.89945983886719,117.55718994140625,32.62361526489258,163.04437255859375,82.45889282226562
2010-02-15,60.898311614990234,204.33555603027344,70.90665435791016,258.04443359375,123.90155792236328,212.48806762695312,154.0970916748047,237.188232421875,171.0838623046875,47.533851623535156,35.941497802734375,506.62890625,187.31887817382812,2.5435733795166016,60.80680847167969,167.8332977294922,1179.264892578125,136.13143920898438,79.22017669677734,933.6512451171875,88.02947235107422,97.09998321533203,33.178863525390625,208.86973571777344,34.34796142578125,62.35187530517578,117.08877563476562,32.633270263671875,164.301025390625,84.5230941772461
2010-02-16,60.78035354614258,205.90353393554688,70.5815200805664,262.1946716308594,126.1905517578125,216.1278533935547,156.17881774902344,225.5614013671875,176.5943145751953,47.68636703491211,36.53913116455078,511.1009826660156,186.82728576660156,2.567843198776245,61.73286056518555,165.8813018798828,1198.1099853515625,137.58799743652344,79.70464324951172,973.7899780273438,89.21849060058594,97.726318359375,33.763999938964844,213.04441833496094,34.996883392333984,63.42878341674805,116.68463134765625,32.07304382324219,164.6389617919922,85.4590835571289
2010-02-17,60.96571731567383,208.89773559570312,72.75862884521484,262.3674011230469,127.47903442382812,214.18898010253906,159.1265869140625,231.83157348632812,179.1261444091797,47.991371154785156,37.45038986206055,521.2120971679688,194.3193359375,2.7328851222991943,61.8664665222168,163.9465789794922,1218.323486328125,137.347412109375,82.92279815673828,977.7572021484375,88.95159149169922,97.22045135498047,33.87470245361328,215.87646484375,37.17583084106445,66.09873962402344,125.3000717163086,31.908836364746094,166.3548583984375,88.8186264038086
2010-02-18,60.78035354614258,201.86740112304688,73.98009490966797,262.41937255859375,127.34261322021484,215.46450805664062,157.9515838623047,234.1154327392578,180.5781707763672,47.32416534423828,37.114532470703125,521.9014892578125,199.999755859375,2.6591897010803223,61.543949127197266,161.18336486816406,1200.1402587890625,137.64584350585938,84.233154296875,956.801025390625,89.25894165039062,98.8102798461914,34.2067985534668,212.5514373779297,36.7177848815918,64.21894836425781,122.73749542236328,31.947481155395508,166.1988983154297,88.65148162841797
2010-02-19,61.15108871459961,198.91363525390625,74.42606353759766,259.56610107421875,126.35731506347656,215.35824584960938,154.93467712402344,231.54090881347656,179.46124267578125,47.371826171875,36.05510711669922,522.6792602539062,199.27149963378906,2.6274170875549316,61.350460052490234,161.29180908203125,1210.1588134765625,138.06903076171875,83.58258056640625,958.994873046875,89.76852416992188,97.22045135498047,33.89051055908203,210.138916015625,35.67442321777344,63.020957946777344,120.37698364257812,31.879863739013672,162.9490966796875,85.40059661865234
