date,market,ari_stability,market_volatility
2010-07-06,sp500,1.0,29.649999618530277
2010-08-04,sp500,1.0,22.209999084472656
2010-09-02,sp500,0.018878183167582,23.190000534057617
2010-10-04,sp500,0.018878183167582,23.530000686645508
2010-11-02,sp500,1.0,21.56999969482422
2010-12-02,sp500,1.0,19.38999938964844
2011-01-03,sp500,1.0,17.610000610351562
2011-02-02,sp500,1.0,17.299999237060547
2011-03-04,sp500,1.0,19.059999465942383
2011-04-04,sp500,1.0,17.5
2011-05-04,sp500,1.0,17.079999923706055
2011-06-03,sp500,1.0,17.950000762939453
2011-07-05,sp500,1.0,16.059999465942383
2011-08-03,sp500,0.0249717147459327,23.3799991607666
2011-09-01,sp500,0.1155284068375497,31.81999969482422
2011-10-03,sp500,0.4610527458516338,45.45000076293945
2011-11-01,sp500,0.4546858833503105,34.77000045776367
2011-12-01,sp500,0.018594018854665,27.40999984741211
2012-01-03,sp500,0.0185277707192392,22.96999931335449
2012-02-02,sp500,0.1022941495024653,17.979999542236328
2012-03-05,sp500,0.0095165873277872,18.049999237060547
2012-04-03,sp500,0.0522026733726247,15.65999984741211
2012-05-03,sp500,1.0,17.559999465942383
2012-06-04,sp500,1.0,26.1200008392334
2012-07-03,sp500,1.0,16.65999984741211
2012-08-02,sp500,0.019987337339936,17.56999969482422
2012-08-31,sp500,0.057015717022857,17.469999313354492
2012-10-02,sp500,0.1386331836135534,15.710000038146973
2012-11-02,sp500,0.0316999690489661,17.59000015258789
2012-12-04,sp500,0.0239235520067137,17.1200008392334
2013-01-04,sp500,0.0239235520067137,13.829999923706056
2013-02-05,sp500,0.024787886869765,13.720000267028809
2013-03-07,sp500,0.024787886869765,13.0600004196167
2013-04-08,sp500,0.018878183167582,13.1899995803833
2013-05-07,sp500,0.018878183167582,12.829999923706056
2013-06-06,sp500,1.0,16.6299991607666
2013-07-08,sp500,0.0338034503591835,14.779999732971191
2013-08-06,sp500,0.8619320585659372,12.720000267028809
2013-09-05,sp500,0.5615256452142662,15.770000457763672
2013-10-04,sp500,0.5913160811110988,16.739999771118164
2013-11-04,sp500,0.0330705805010055,12.93000030517578
2013-12-04,sp500,0.0357899777545549,14.699999809265137
2014-01-06,sp500,0.0357899777545549,13.550000190734863
2014-02-05,sp500,1.0,19.950000762939453
2014-03-07,sp500,1.0,14.109999656677246
2014-04-07,sp500,-0.001713454381721,15.56999969482422
2014-05-07,sp500,0.1815089256262312,13.399999618530272
2014-06-06,sp500,0.2742553364966403,10.729999542236328
2014-07-08,sp500,0.2903911227134576,11.979999542236328
2014-08-06,sp500,0.1985749548865362,16.3700008392334
2014-09-05,sp500,0.2325924331673233,12.09000015258789
2014-10-06,sp500,0.2556679486157339,15.460000038146973
2014-11-04,sp500,0.2070226340563249,14.890000343322754
2014-12-04,sp500,0.2360942441512294,12.380000114440918
2015-01-06,sp500,0.3797059175036928,21.1200008392334
2015-02-05,sp500,0.3091850909872944,16.850000381469727
2015-03-09,sp500,0.4882896767526807,15.0600004196167
2015-04-08,sp500,0.3499721691282804,13.979999542236328
2015-05-07,sp500,0.303108967460148,15.130000114440918
2015-06-08,sp500,0.3131430240127934,15.289999961853027
2015-07-08,sp500,0.3439174130173104,19.65999984741211
2015-08-06,sp500,0.1880582221880083,13.770000457763672
2015-09-04,sp500,0.3730924270255785,27.799999237060547
2015-10-06,sp500,0.3603474602562825,19.399999618530277
2015-11-04,sp500,0.3436472711284752,15.510000228881836
2015-12-04,sp500,0.4422228962193512,14.8100004196167
2016-01-06,sp500,0.4054789771432059,20.59000015258789
2016-02-05,sp500,0.3077732209812889,23.3799991607666
2016-03-08,sp500,0.3837563361317563,18.670000076293945
2016-04-07,sp500,0.4391537593799118,16.15999984741211
2016-05-06,sp500,0.299493933727978,14.720000267028809
2016-06-07,sp500,0.4136332387993047,14.050000190734863
2016-07-07,sp500,0.3715120033853221,14.760000228881836
2016-08-05,sp500,0.3104212125079378,11.390000343322754
2016-09-06,sp500,0.3607837642188588,12.020000457763672
2016-10-05,sp500,0.4788635830397069,12.989999771118164
2016-11-03,sp500,0.3500108280120876,22.07999992370605
2016-12-05,sp500,0.3680903232255386,12.140000343322754
2017-01-05,sp500,0.3856362463677604,11.670000076293944
2017-02-06,sp500,0.4068722144599517,11.369999885559082
2017-03-08,sp500,0.5234195801806131,11.859999656677246
2017-04-06,sp500,0.3438274575767112,12.390000343322754
