ticker,company_name,sector,industry
EIX,Unknown,Unknown,Unknown
EW,Unknown,Unknown,Unknown
EA,Unknown,Unknown,Unknown
ELV,Unknown,Unknown,Unknown
EME,Unknown,Unknown,Unknown
EMR,Unknown,Unknown,Unknown
ETR,Unknown,Unknown,Unknown
EOG,Unknown,Unknown,Unknown
EQT,Unknown,Unknown,Unknown
EFX,Unknown,Unknown,Unknown
EQIX,Unknown,Unknown,Unknown
EQR,Unknown,Unknown,Unknown
ERIE,Unknown,Unknown,Unknown
ESS,Unknown,Unknown,Unknown
EL,Unknown,Unknown,Unknown
EG,Unknown,Unknown,Unknown
EVRG,Unknown,Unknown,Unknown
ES,Unknown,Unknown,Unknown
EXC,Unknown,Unknown,Unknown
EXE,Unknown,Unknown,Unknown
EXPE,Unknown,Unknown,Unknown
EXPD,Unknown,Unknown,Unknown
EXR,Unknown,Unknown,Unknown
XOM,Unknown,Unknown,Unknown
FFIV,Unknown,Unknown,Unknown
FDS,Unknown,Unknown,Unknown
FICO,Unknown,Unknown,Unknown
FAST,Unknown,Unknown,Unknown
FRT,Unknown,Unknown,Unknown
FDX,Unknown,Unknown,Unknown
FDXF,Unknown,Unknown,Unknown
FIS,Unknown,Unknown,Unknown
FITB,Unknown,Unknown,Unknown
FSLR,Unknown,Unknown,Unknown
FE,Unknown,Unknown,Unknown
FISV,Unknown,Unknown,Unknown
F,Unknown,Unknown,Unknown
FTNT,Unknown,Unknown,Unknown
FTV,Unknown,Unknown,Unknown
FOXA,Unknown,Unknown,Unknown
FOX,Unknown,Unknown,Unknown
BEN,Unknown,Unknown,Unknown
FCX,Unknown,Unknown,Unknown
GRMN,Unknown,Unknown,Unknown
IT,Unknown,Unknown,Unknown
GE,Unknown,Unknown,Unknown
GEHC,Unknown,Unknown,Unknown
GEV,Unknown,Unknown,Unknown
GEN,Unknown,Unknown,Unknown
GNRC,Unknown,Unknown,Unknown
GD,Unknown,Unknown,Unknown
GIS,Unknown,Unknown,Unknown
GM,Unknown,Unknown,Unknown
GPC,Unknown,Unknown,Unknown
GILD,Unknown,Unknown,Unknown
GPN,Unknown,Unknown,Unknown
GL,Unknown,Unknown,Unknown
GDDY,Unknown,Unknown,Unknown
GS,Unknown,Unknown,Unknown
HAL,Unknown,Unknown,Unknown
HIG,Unknown,Unknown,Unknown
HAS,Unknown,Unknown,Unknown
HCA,Unknown,Unknown,Unknown
DOC,Unknown,Unknown,Unknown
HSIC,Unknown,Unknown,Unknown
HSY,Unknown,Unknown,Unknown
HPE,Unknown,Unknown,Unknown
HLT,Unknown,Unknown,Unknown
HD,Unknown,Unknown,Unknown
HON,Unknown,Unknown,Unknown
HRL,Unknown,Unknown,Unknown
HST,Unknown,Unknown,Unknown
HWM,Unknown,Unknown,Unknown
HPQ,Unknown,Unknown,Unknown
HUBB,Unknown,Unknown,Unknown
HUM,Unknown,Unknown,Unknown
HBAN,Unknown,Unknown,Unknown
HII,Unknown,Unknown,Unknown
IBM,Unknown,Unknown,Unknown
IEX,Unknown,Unknown,Unknown
IDXX,Unknown,Unknown,Unknown
ITW,Unknown,Unknown,Unknown
INCY,Unknown,Unknown,Unknown
IR,Unknown,Unknown,Unknown
PODD,Unknown,Unknown,Unknown
INTC,Unknown,Unknown,Unknown
IBKR,Unknown,Unknown,Unknown
