date,market_volatility
2023-06-26,29.610000610351562
2023-06-27,29.43000030517578
2023-06-28,29.81999969482422
2023-06-29,29.600000381469727
2023-06-30,29.450000762939453
2023-07-03,29.90999984741211
2023-07-05,29.899999618530273
2023-07-06,31.559999465942383
2023-07-07,30.299999237060547
2023-07-10,30.139999389648438
2023-07-11,30.600000381469727
2023-07-12,29.81999969482422
2023-07-13,29.489999771118164
2023-07-14,29.280000686645508
2023-07-17,29.760000228881836
2023-07-18,29.56999969482422
2023-07-19,29.3799991607666
2023-07-20,28.93000030517578
2023-07-21,28.56999969482422
2023-07-24,28.520000457763672
2023-07-25,28.440000534057617
2023-07-26,27.81999969482422
2023-07-27,29.889999389648438
2023-07-28,29.059999465942383
2023-07-31,29.34000015258789
2023-08-01,30.1200008392334
2023-08-02,31.06999969482422
2023-08-03,30.950000762939453
2023-08-04,31.0
2023-08-07,30.149999618530273
2023-08-08,30.739999771118164
2023-08-09,30.309999465942383
2023-08-10,29.610000610351562
2023-08-11,29.43000030517578
2023-08-14,30.139999389648438
2023-08-15,32.08000183105469
2023-08-16,31.299999237060547
2023-08-17,30.889999389648438
2023-08-18,29.889999389648438
2023-08-21,30.809999465942383
2023-08-22,29.399999618530273
2023-08-23,28.639999389648438
2023-08-24,28.610000610351562
2023-08-25,29.209999084472656
2023-08-28,28.860000610351562
2023-08-29,28.219999313354492
2023-08-30,28.290000915527344
2023-08-31,29.31999969482422
2023-09-01,28.540000915527344
2023-09-05,28.969999313354492
2023-09-06,28.969999313354492
2023-09-07,29.459999084472656
2023-09-08,28.3799991607666
2023-09-11,29.030000686645508
2023-09-12,27.780000686645508
2023-09-13,27.639999389648438
2023-09-14,27.670000076293945
2023-09-15,27.020000457763672
2023-09-18,27.020000457763672
2023-09-19,26.739999771118164
2023-09-20,26.56999969482422
2023-09-21,29.190000534057617
2023-09-22,28.959999084472656
2023-09-25,29.719999313354492
2023-09-26,30.84000015258789
2023-09-27,31.219999313354492
2023-09-28,30.239999771118164
2023-09-29,29.459999084472656
2023-10-02,31.010000228881836
2023-10-03,33.939998626708984
2023-10-04,32.5
2023-10-05,32.79999923706055
2023-10-06,31.18000030517578
2023-10-09,31.860000610351562
2023-10-10,30.65999984741211
2023-10-11,29.850000381469727
2023-10-12,30.010000228881836
2023-10-13,31.559999465942383
2023-10-16,30.219999313354492
2023-10-17,30.360000610351562
2023-10-18,32.79999923706055
2023-10-19,32.27000045776367
2023-10-20,32.0099983215332
2023-10-23,31.610000610351562
2023-10-24,30.8799991607666
2023-10-25,31.860000610351562
2023-10-26,30.770000457763672
2023-10-27,32.16999816894531
2023-10-30,33.45000076293945
2023-10-31,32.130001068115234
2023-11-01,31.0
2023-11-02,30.100000381469727
2023-11-03,29.799999237060547
2023-11-06,29.06999969482422
2023-11-07,27.690000534057617
2023-11-08,27.700000762939453
2023-11-09,28.299999237060547
2023-11-10,27.770000457763672
2023-11-13,28.200000762939453
2023-11-14,28.239999771118164
2023-11-15,28.020000457763672
2023-11-16,28.170000076293945
2023-11-17,27.959999084472656
2023-11-20,28.149999618530273
2023-11-21,28.530000686645508
2023-11-22,28.06999969482422
2023-11-24,28.290000915527344
2023-11-27,28.309999465942383
2023-11-28,27.479999542236328
2023-11-29,27.75
2023-11-30,27.540000915527344
2023-12-01,27.639999389648438
2023-12-04,29.0
2023-12-05,28.700000762939453
2023-12-06,29.079999923706055
2023-12-07,28.579999923706055
2023-12-08,28.309999465942383
2023-12-11,26.93000030517578
2023-12-12,26.3799991607666
2023-12-13,29.31999969482422
2023-12-14,23.56999969482422
2023-12-15,28.149999618530273
2023-12-18,26.559999465942383
2023-12-19,25.969999313354492
2023-12-20,26.15999984741211
2023-12-21,25.709999084472656
2023-12-22,25.440000534057617
2023-12-26,25.920000076293945
2023-12-27,26.270000457763672
2023-12-28,27.209999084472656
2023-12-29,28.559999465942383
2024-01-02,28.43000030517578
2024-01-03,27.760000228881836
2024-01-04,27.389999389648438
2024-01-05,26.670000076293945
2024-01-08,26.6200008392334
2024-01-09,26.309999465942383
2024-01-10,26.239999771118164
2024-01-11,25.09000015258789
2024-01-12,25.020000457763672
2024-01-16,27.020000457763672
2024-01-17,27.15999984741211
2024-01-18,26.1200008392334
2024-01-19,25.270000457763672
2024-01-22,26.31999969482422
2024-01-23,25.489999771118164
2024-01-24,26.270000457763672
2024-01-25,25.540000915527344
2024-01-26,25.1200008392334
2024-01-29,26.5
2024-01-30,26.690000534057617
2024-01-31,26.65999984741211
2024-02-01,25.950000762939453
2024-02-02,25.479999542236328
2024-02-05,25.239999771118164
2024-02-06,25.3799991607666
2024-02-07,24.579999923706055
2024-02-08,26.459999084472656
2024-02-09,25.209999084472656
2024-02-12,25.059999465942383
2024-02-13,26.719999313354492
2024-02-14,26.06999969482422
2024-02-15,24.979999542236328
2024-02-16,24.729999542236328
2024-02-20,24.600000381469727
2024-02-21,24.860000610351562
2024-02-22,24.649999618530273
2024-02-23,23.940000534057617
2024-02-26,24.8799991607666
2024-02-27,23.059999465942383
2024-02-28,23.579999923706055
2024-02-29,23.719999313354492
2024-03-01,23.799999237060547
